ref_ID,type,subset,native_indicated,natural_indicated,end_ref,restricted,taxon_ID,list_ID,end_list,entity_ID,geo_entity,suit_geo,entity_class,entity_type
30,Checklist,all,1,0,1,0,5,296,1,294,Anguilla,1,Island,
30,Checklist,all,1,0,1,0,5,297,1,295,Antigua,1,Island,
30,Checklist,all,1,0,1,0,5,298,1,296,Bahama Archipelago,1,Island,
30,Checklist,all,1,0,1,0,5,299,1,297,Barbados,1,Island,
30,Checklist,all,1,0,1,0,5,300,1,298,Barbuda,1,Island,
30,Checklist,all,1,0,1,0,5,301,0,299,Beata,1,Island,
30,Checklist,all,1,0,1,0,5,302,0,300,Caja de Muertos,1,Island,
30,Checklist,all,1,0,1,0,5,303,1,301,Cayman Islands,1,Island,
30,Checklist,all,1,0,1,0,5,304,0,302,Cayo Santiago,1,Island,
30,Checklist,all,1,0,1,0,5,305,1,303,Cuba,1,Island,
30,Checklist,all,1,0,1,0,5,306,0,304,Culebra,1,Island,
30,Checklist,all,1,0,1,0,5,307,0,305,Culebrita,0,Island,
30,Checklist,all,1,0,1,0,5,308,0,306,Desecheo,1,Island,
30,Checklist,all,1,0,1,0,5,309,1,307,Dominica,1,Island,
30,Checklist,all,1,0,1,0,5,310,0,308,Gonave,1,Island,
30,Checklist,all,1,0,1,0,5,311,0,309,Grande Cayemite,0,Island,
30,Checklist,all,1,0,1,0,5,312,1,310,Grenada,1,Island,
30,Checklist,all,1,0,1,0,5,313,1,311,Guadeloupe,1,Island,
30,Checklist,all,1,0,1,0,5,314,1,312,Guana Island,1,Island,
30,Checklist,all,1,0,1,0,5,315,1,313,Hispaniola,1,Island,
30,Checklist,all,1,0,1,0,5,316,0,314,Icacos,1,Island,
30,Checklist,all,1,0,1,0,5,317,1,315,Jamaica,1,Island,
30,Checklist,all,1,0,1,0,5,318,1,316,Jost van Dyke,1,Island,
30,Checklist,all,1,0,1,0,5,319,0,317,Magueyes,1,Island,
30,Checklist,all,1,0,1,0,5,320,1,318,Maria Galante,1,Island,
30,Checklist,all,1,0,1,0,5,321,1,319,Martinique,1,Island,
30,Checklist,all,1,0,1,0,5,322,0,320,Mona,1,Island,
30,Checklist,all,1,0,1,0,5,323,0,321,Monito,1,Island,
30,Checklist,all,1,0,1,0,5,324,1,322,"Monserrat, Lesser Antilles",1,Island,
30,Checklist,all,1,0,1,0,5,325,0,323,Navassa,1,Island,
30,Checklist,all,1,0,1,0,5,326,1,324,Nevis,1,Island,
30,Checklist,all,1,0,1,0,5,327,0,325,Palomino,1,Island,
30,Checklist,all,1,0,1,0,5,328,1,326,Puerto Rico,1,Island,
30,Checklist,all,1,0,1,0,5,329,1,327,Saba,1,Island,
30,Checklist,all,1,0,1,0,5,330,0,328,Saona,0,Island,
30,Checklist,all,1,0,1,0,5,331,1,329,St. Barthelemy,1,Island,
30,Checklist,all,1,0,1,0,5,332,1,330,St. Croix,1,Island,
30,Checklist,all,1,0,1,0,5,333,1,331,St. Eustatius,1,Island,
30,Checklist,all,1,0,1,0,5,334,1,332,St. John,1,Island,
30,Checklist,all,1,0,1,0,5,335,1,333,St. Kitts,1,Island,
30,Checklist,all,1,0,1,0,5,336,1,334,St. Lucia,1,Island,
30,Checklist,all,1,0,1,0,5,337,1,335,St. Martin,1,Island,
30,Checklist,all,1,0,1,0,5,338,1,336,St. Thomas,1,Island,
30,Checklist,all,1,0,1,0,5,339,1,337,St. Vincent,1,Island,
30,Checklist,all,1,0,1,0,5,340,1,338,The Grenadines,1,Island,
30,Checklist,all,1,0,1,0,5,341,1,339,Tortola,1,Island,
30,Checklist,all,1,0,1,0,5,342,0,340,Tortue,1,Island,
30,Checklist,all,1,0,1,0,5,343,0,341,Vache,0,Island,
30,Checklist,all,1,0,1,0,5,344,0,342,Vieques,1,Island,
30,Checklist,all,1,0,1,0,5,345,1,343,Virgin Gorda,1,Island,
32,Flora,native,1,0,1,0,2,350,1,348,Socorro,1,Island,
32,Flora,native,1,0,1,0,2,351,1,349,San Benedicto,1,Island,
32,Flora,native,1,0,1,0,2,352,1,350,Clarion,1,Island,
33,Flora,native,1,0,1,0,2,353,1,351,Guadalupe Island (Mexico),1,Island,
34,Survey,native,1,0,1,0,6,354,1,352,Antipodes Islands,1,Island,
34,Survey,native,1,0,1,0,6,355,1,353,Bounty Islands,1,Island,
36,Flora,native,1,0,1,0,2,357,1,355,Namonuito and Hall Islands,1,Island,
37,Checklist,native,1,0,1,0,2,358,1,356,Gough Island,1,Island,
38,Flora,native,1,0,1,0,2,359,1,357,Soqotra,1,Island,
39,Checklist,native,1,0,1,0,2,360,1,358,Caroline Atoll,1,Island,
40,Flora,native,1,0,1,0,2,361,1,277,Aldabra,1,Island,
40,Flora,native,1,0,1,0,2,362,1,278,Assumption,1,Island,
40,Flora,native,1,0,1,0,2,363,1,279,Cosmoledo,1,Island,
40,Flora,native,1,0,1,0,2,364,1,280,Astove,1,Island,
42,Flora,native,1,0,1,0,2,366,1,359,Niue,1,Island,
