taxon_ID,taxon_name,taxon_author,taxon_lvl,lft,rgt
354,Opiliaceae,Valeton,family,4876,4897
355,Balanophoraceae,Rich.,family,4838,4875
356,Santalaceae,R.Br.,family,4718,4837
357,Misodendraceae,J.Agardh,family,4710,4717
358,Schoepfiaceae,Blume,family,4702,4709
359,Loranthaceae,Juss.,family,4506,4701
360,Frankeniaceae,Desv.,family,4498,4503
361,Tamaricaceae,Link,family,4486,4497
362,Plumbaginaceae,Juss.,family,4426,4485
363,Polygonaceae,Juss.,family,4272,4425
364,Droseraceae,Salisb.,family,4262,4271
365,Nepenthaceae,Dumort,family,4256,4261
366,Drosophyllaceae,Chrtek et al .,family,4252,4255
367,Dioncophyllaceae,Airy Shaw,family,4244,4251
368,Ancistrocladaceae,Planch. ex Walp.,family,4240,4243
369,Rhabdodendraceae,Prance,family,4236,4239
370,Simmondsiaceae,Tiegh.,family,4232,4235
371,Physenaceae,Takht.,family,4228,4231
372,Asteropeiaceae,Takht. ex Reveal & Hoogland,family,4224,4227
373,Macarthuriaceae,Christenh.,family,4220,4223
374,Microteaceae,Sch,family,4216,4219
375,Caryophyllaceae,Juss.,family,3916,4215
376,Achatocarpaceae,Heimerl,family,3910,3915
377,Amaranthaceae,Juss.,family,3430,3909
378,Stegnospermataceae,Nakai,family,3426,3429
379,Limeaceae,Shipunov ex Reveal,family,3422,3425
380,Lophiocarpaceae,Doweld & Reveal,family,3416,3421
381,Kewaceae,Christenh.,family,3412,3415
382,Barbeuiaceae,Nakai,family,3408,3411
383,Gisekiaceae,Nakai,family,3404,3407
384,Aizoaceae,Martinov,family,3086,3403
385,Phytolaccaceae,R.Br.,family,3068,3085
386,Petiveriaceae,C.Agardh (including Rivinaceae C.Agardh),family,3048,3067
387,Sarcobataceae,Behnke,family,3044,3047
388,Nyctaginaceae,Juss.,family,2958,3043
389,Molluginaceae,Bartl.,family,2926,2957
390,Montiaceae,Raf.,family,2886,2925
391,Didiereaceae,Radlk.,family,2870,2885
392,Basellaceae,Raf.,family,2858,2869
393,Halophytaceae,S.Soriano,family,2854,2857
394,Talinaceae,Doweld,family,2848,2853
395,Portulacaceae,Juss.,family,2818,2847
396,Anacampserotaceae,Eggli & Nyffeler,family,2810,2817
397,Cactaceae,Juss.,family,2362,2809
398,Nyssaceae,Juss. ex Dumort.,family,19061,19072
399,Hydrostachyaceae,Engl.,family,19057,19060
400,Hydrangeaceae,Dumort.,family,19017,19056
401,Loasaceae,Juss.,family,18965,19016
402,Curtisiaceae,Takht.,family,18961,18964
403,Grubbiaceae,Endl. ex Meisn.,family,18957,18960
404,Cornaceae,Bercht. & J.Presl,family,18937,18956
405,Balsaminaceae,A.Rich.,family,18927,18934
406,Marcgraviaceae,Bercht. & J.Presl,family,18909,18926
407,Tetrameristaceae,Hutch.,family,18901,18908
408,Fouquieriaceae,DC.,family,18895,18900
409,Polemoniaceae,Juss.,family,18829,18894
410,Lecythidaceae,A.Rich.,family,18775,18828
411,Sladeniaceae,Airy Shaw,family,18769,18774
412,Pentaphylacaceae,Engl.,family,18733,18768
413,Sapotaceae,Juss.,family,18553,18732
414,Ebenaceae,G,family,18539,18552
415,Primulaceae,Batsch ex Borkh.,family,18351,18538
416,Theaceae,Mirb.,family,18309,18350
417,Symplocaceae,Desf.,family,18297,18308
418,Diapensiaceae,Lindl.,family,18281,18296
419,Styracaceae,DC. & Spreng.,family,18251,18280
420,Sarraceniaceae,Dumort.,family,18243,18250
421,Roridulaceae,Martinov,family,18239,18242
422,Actinidiaceae,Gilg & Werderm.,family,18227,18238
423,Clethraceae,Klotzsch,family,18221,18226
424,Cyrillaceae,Lindl.,family,18215,18220
425,Ericaceae,Juss.,family,17833,18214
426,Mitrastemonaceae,Makino,family,17827,17832
427,Oncothecaceae,Kobuski ex Airy Shaw,family,17821,17824
428,Icacinaceae,Miers,family,17741,17820
429,Metteniusaceae,H.Karst. ex Schnizl.,family,17735,17738
430,Eucommiaceae,Engl.,family,17729,17732
431,Garryaceae,Lindl.,family,17723,17728
432,Rubiaceae,Juss.,family,16279,17720
433,Gentianaceae,Juss.,family,16017,16278
434,Loganiaceae,R.Br. ex Mart.,family,15969,16016
435,Gelsemiaceae,L.Struwe & V.A.Albert (including Pteleocarpaceae Brummitt),family,15963,15968
436,Apocynaceae,Juss.,family,14909,15962
437,Boraginaceae,Juss.,family,14489,14906
438,Vahliaceae,Dandy,family,14483,14486
439,Convolvulaceae,Juss.,family,14307,14480
440,Solanaceae,Juss.,family,14037,14306
441,Montiniaceae,Nakai,family,14031,14036
442,Sphenocleaceae,T.Baskerv.,family,14027,14030
443,Hydroleaceae,R.Br.,family,14023,14026
444,Plocospermataceae,Hutch.,family,14017,14020
445,Carlemanniaceae,Airy Shaw,family,14011,14016
446,Oleaceae,Hoffmanns. & Link,family,13947,14010
447,Tetrachondraceae,Wettst.,family,13941,13946
448,Calceolariaceae,Olmstead,family,13931,13940
449,Gesneriaceae,Rich. & Juss.,family,13517,13930
450,Plantaginaceae,Juss.,family,13233,13516
451,Scrophulariaceae,Juss.,family,13043,13232
452,Stilbaceae,Kunth,family,13017,13042
453,Linderniaceae,Borsch et al .,family,12973,13016
454,Byblidaceae,Domin,family,12969,12972
455,Martyniaceae,Horan.,family,12955,12968
456,Pedaliaceae,R.Br.,family,12923,12954
457,Acanthaceae,Juss.,family,12241,12922
458,Bignoniaceae,Juss.,family,12041,12240
459,Lentibulariaceae,Rich.,family,12031,12040
460,Schlegeliaceae,Reveal,family,12019,12030
461,Thomandersiaceae,Sreem.,family,12017,12018
462,Verbenaceae,J.St.Hil.,family,11939,12016
463,Lamiaceae,Martinov,family,11375,11938
464,Mazaceae,Reveal,family,11367,11374
465,Phrymaceae,Schauer,family,11339,11366
466,Paulowniaceae,Nakai,family,11329,11338
467,Orobanchaceae,Vent.,family,11097,11328
468,Stemonuraceae,Karehed,family,11069,11094
469,Cardiopteridaceae,Blume,family,11053,11068
470,Phyllonomaceae,Small,family,11049,11052
471,Helwingiaceae,Decne.,family,11045,11048
