citavi_ID,dataset,layer_name,layer,description,unit,coord_system,resolution,extent,version
{Zhao 2010 #3593},MODIS gross and net primary productivity,MOD17A3_NPP_mean_00_14_0,Net Primary Productivity,Annual Net Primary Production for 2000 - 2013 or 14 (65535(NA) replaced by 0),g carbon m²,WGS84,30 arc-seconds,global,
{Crowther 2015 #3510},Tree density,Crowther_Nature_Biome_Revision_01,Tree density,,trees,WGS84,30 arc-seconds,global,revision 1
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn30_grd,Mean Altitude,Mean elevation per gridcell,m,WGS84,30 arc-seconds,global,
{Hengl 2017 #3543},Global gridded soil information,TAXNWRB_1km_ll,Soil classes WRB,"Predicted most probable soil classes based on the
World Reference Base (WRB; also available in 15 arc-seconds)",,WGS84,30 arc-seconds,global,1
{Hengl 2017 #3543},Global gridded soil information,TAXOUSDA_1km_ll,Soil classes USDA,Predicted most probable soil classes based on USDA (also available in 15 arc-seconds),,WGS84,30 arc-seconds,global,1
{Hengl 2017 #3543},Global gridded soil information,CECSOL_M_sl2_1km_ll,Cation exchange capacity 5 cm,Cation exchange capacity of soil in cmolc/kg (5 cm depth; also available in 15 arc-seconds),cmolc/kg,WGS84,30 arc-seconds,global,1
{Venter 2016 #3547},Human footprint,HFP1993_unproj,Human Footprint 1993,Human Footprint Index for 1993,,WGS84,30 arc-seconds,global,
{Venter 2016 #3547},Human footprint,HFP2009_unproj,Human Footprint 2009,Human Footprint Index for 2009,,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn30_grd_slope,Slope,Slope calculated on GMTED 2010,radians,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn30_grd_TPI,Topographic position index,Topographic position index calculated on GMTED 2010: difference between the value of a cell and the mean value of its 8 surrounding cells,m,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn30_grd_TRI,Terrain ruggedness index,Terrain ruggedness index  calculated on GMTED 2010: mean of the absolute differences between the value of a cell and the value of its 8 surrounding cells,m,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn30_grd_roughness,Roughness,Roughness calculated on GMTED 2010: difference between the maximum and the minimum value of a cell and its 8 surrounding cells,m,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mx30_grd,Max Altitude,Maximum elevation per gridcell,m,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mi30_grd,Min Altitude,Minimum elevation per gridcell,m,WGS84,30 arc-seconds,global,
{USGS 2011 #3530},Global multi-resolution terrain elevation data,mn15_grd_TRI,Terrain ruggedness index,Terrain ruggedness index  calculated on GMTED 2010: mean of the absolute differences between the value of a cell and the value of its 8 surrounding cells,m,WGS84,15 arc-seconds,global,
{Kummu 2018 #3601},Gridded global GDP and Human Development Index,GDP_PPP_2015,Gross Domestic Production 2015,Gross Domestic Production (purchasing power parity) 2015 in constant 2011 international USD,$,WGS84,30 arc-seconds,global,
{Karger 2017 #3511},Chelsa derived,CHELSA_NFD,Number of frost days,Number of days at which tmin < 0°C,days,WGS84,30 arc-seconds,global,1.2
{Fournier 2020 #3758},Spatial frequency of climatic conditions,Global_CFI,Climate frequency,Spatial frequency (CFI) of a given set of climatic conditions at the global scale for any desired geographic cell size,,WGS84,reprojected from 50by50 km² grid,global,
{Fournier 2020 #3758},Spatial frequency of climatic conditions,Global_ClimateHetero,Climate heterogeneity,Spatial heterogeneity measured as the mean Euclidean distance to the multivariate climate centroid,,WGS84,reprojected from 50by50 km² grid,global,
{Otto-Bliesner 2006 #3838},PaleoClim 1.0,PaleoClim_LIG_v1_2_5m_bio_1,Annual Mean Temperature in Pleistocene: Last Interglacial (~130 ka),°C * 10,°C,WGS84,2.5 arc-minutes,global,1.0
{Otto-Bliesner 2006 #3838},PaleoClim 1.0,PaleoClim_LIG_v1_2_5m_bio_12,Annual Precipitation in Pleistocene: Last Interglacial (~130 ka),mm,mm,WGS84,2.5 arc-minutes,global,1.0
{Otto-Bliesner 2006 #3838},PaleoClim 1.0,PaleoClim_LIG_v1_2_5m_bio_15,Precipitation Seasonality in Pleistocene: Last Interglacial (~130 ka),Coefficient of variation,,WGS84,2.5 arc-minutes,global,1.0
{Otto-Bliesner 2006 #3838},PaleoClim 1.0,PaleoClim_LIG_v1_2_5m_bio_4,Temperature Seasonality in Pleistocene: Last Interglacial (~130 ka),standard deviation *100,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_M2_v1_2_5m_bio_1,Annual Mean Temperature in Marine Isotope State M2 (~3.3 Ma),°C * 10,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_M2_v1_2_5m_bio_12,Annual Precipitation in Marine Isotope State M2 (~3.3 Ma),,mm,WGS84,2.5 arc-minutes,global,1.0
