ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
71,"Charters (2007) Flora of Bermuda. Available at: http://www.calflora.net/floraofbermuda/, last accessed  30.07.2011.",Bermuda,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
72,"Borges, Abreu, Aguiar, Carvalho, Jardim, Melo, Oliveira, Sérgio, Serrano & Vieira (2008) Listagem dos fungos, flora e fauna terrestres dos arquipélagos da Madeira e Selvagens. Direcção Regional do Ambiente da Madeira and Universidade dos Açores, Funchal and Angra do Heroísmo;  Portugal.",Madeira and Selvagens,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2012-05-16
73,"Arechavaleta, Zurita, Marrero & Martín (2005) Lista preliminar de especies silvestres de Cabo Verde (hongos, plantas y animales terrestres). Consejería de Medio Ambiente y Ordenación Territorial, Gobierno de Canarias, Santa Cruz de Tenerife;  Spain, 155p.",Cabo Verde,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2012-05-15
74,"Stalter & Lamont (2006) The historical and extant flora of Sable Island, Nova Scotia, Canada. Journal of the Torrey Botanical Society 133, 362–374.",Sable Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,2011-07-01
76,"Kemenes (2003) Distribuição espacial da flora terrestre fanerogâmica do Parque Nacional Marinho de Abrolhos, BA. Revista Brasil. Bot 26, 141-150.",Abrolhos,Checklist,native,5,Spermatophyta,1,1,0,0,1,0,2015-07-31
77,"Florence, Chevillotte, Ollier & Meyer (2007) Base de données botaniques Nadeaud de l'Herbier de la Polynésie française (PAP). Available at: http://www.herbier-tahiti.pf/, last accessed  1 July 2011.",French Polynesia,Species Database,all,2,Tracheophyta,1,1,1,1,0,0,2011-07-01
78,"Convey, Lewis Smith, Hodgson & Peat (2000) The flora of the South Sandwich Islands, with particular reference to the influence of geothermal heating. Journal of Biogeography 27, 1279–1295.",South Sandwich Islands,Checklist,all,2,Tracheophyta,1,1,1,1,0,0,2011-09-12
79,"Martínez-Laborde (1998) A new report on the vascular flora of the island of Alborán (Spain). Flora Mediterrania 8, 37-39.",Alboran,Report,all,2,Tracheophyta,1,1,1,1,0,0,2011-09-13
80,"Chong, Tan & Corlett (2009) A checklist of the total vascular plant flora of Singapore. Raffles Museum of Biodiversity Research, Singapore, 273p.",Singapore,Checklist,all,2,Tracheophyta,1,1,1,1,1,0,2012-05-10
81,"UIB (2007) Herbario virtual del Mediterráneo Occidental. Available at: http://herbarivirtual.uib.es/cas-med/, last accessed  7 August 2012.",Balearic Islands,Species Database,all,2,Tracheophyta,1,1,0,1,1,0,9999-12-31
82,"Johnson & Campbell (1975) Vascular plants of the Auckland Islands. New Zealand journal of botany 13, 665–720.",Auckland Islands,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
83,"Bowdoin Scientific Station (2011) Vascular plants of Kent Island. Available at: https://www.bowdoin.edu/kent-island/species/plants.shtml, last accessed  14 September 2011.",Kent Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
86,"Jackes (2010) Plants of Magnetic Island. James Cook University, Townsville;  Australia, 170p.",Magnetic Island,Checklist,native and naturalized,2,Tracheophyta,1,1,1,0,0,0,2011-10-11
87,"Marticorena, Stuessy & Baeza (1998) Catalogue of the vascular flora of the Robinson Crusoe or Juan Fernández islands, Chile. Gayana Botánica 55, 187–211.",Juan Fernandez Islands,Catalogue,native and naturalized,2,Tracheophyta,1,1,1,1,1,0,2011-10-12
88,"Whistler (1983) Vegetation and flora of the Aleipata Islands, Western Samoa. Pacific Science 37, 227–249.",Aleipata Islands,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-11-02
90,"Whistler (1998) A study of the rare plants of American Samoa. US Fish and Wildlife Service, Honolulu, Hawaii.",American Samoa,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-11-16
92,"Sachet (1962) Flora and vegetation of Clipperton Island. Proceedings of the California Academy of Sciences 31, 249–307.",Clipperton Island,Flora,all,2,Tracheophyta,1,1,0,0,0,0,2012-09-19
93,"Whistler (1996) Botanical survey of Diego Garcia, Chagos Archipelago, British Indian Ocean Territory. Isle Botanica.",Diego Garcia,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2012-12-02
94,"Takahashi, Barkalov, Gage, Semsrott, Ilushko & Zhuravlev (1999) A preliminary checklist of the vascular plants of Chirinkotan, Kuril Islands. Journal of Phytogeography and Taxonomy 47, 131–137.",Chirinkotan,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
98,"Gage, Joneson, Barkalov, Eremenko & Takahashi (2006) A newly compiled checklist of the vascular plants of the Habomais, the Little Kurils. Bulletin of the Hokkaido University Museum 3, 67–91.",Habomais,Checklist,native and naturalized,2,Tracheophyta,1,1,1,0,0,0,2011-10-21
100,"Baker & Duretto (2011) A census of the vascular plants of Tasmania. Tasmanian Herbarium, Tasmanian Museum and Art Gallery, Hobart, Australia.",Tasmania and Macquarie Island,Flora,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-10-21
106,"Takahashi, Barkalov, Gage, Semsrott, Ilushko & Zhuravlev (2006) A floristic study of the vascular plants of Kharimkotan, Kuril Islands. Bulletin of the Hokkaido University Museum 3, 41–66.",Kharimkotan,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
108,"Tatewaki (1957) Geobotanical studies on the Kurile Islands. Acta Horti Gotoburgensis 21, 43–123.",Kuriles,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
